Waterbody,Sampling_Date,Latitude,Longitude,Taxon,TLEN,RWT,Sex,As_ug_ww,System_Type,Data_source,As_ug_ww_RAND,Marine,PORTION_TYPE_CODE,PORTION_TYPE_DESC
Agnew Lake,2014-09-02,46.35528,-81.76083,NP,636,1656,,0.059,Lake,MECP,0.059,N,FC,COMPOSITE OF SKIN-OFF FILLETS OF SEVERAL FISH
Agnew Lake,2014-09-02,46.35528,-81.76083,WALL,453,1056,,0.127,Lake,MECP,0.127,N,FC,COMPOSITE OF SKIN-OFF FILLETS OF SEVERAL FISH
Albany River,2016-09-18,52.22556,-81.67139,CISCO,331,350,F,4.734,River,MECP,4.734,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,CISCO,381,440,F,2.07,River,MECP,2.07,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,CISCO,358,445,F,2.777,River,MECP,2.777,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,LNS,240,140,M,0.583,River,MECP,0.583,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-04,52.22556,-81.67139,LNS,325,400,M,0.255,River,MECP,0.255,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,LNS,477,400,F,0.22,River,MECP,0.22,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-03,52.22556,-81.67139,LNS,378,425,F,0.62,River,MECP,0.62,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,LNS,365,510,M,0.631,River,MECP,0.631,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-04,52.22556,-81.67139,LNS,430,750,F,0.125,River,MECP,0.125,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-03,52.22556,-81.67139,LSTUR,490,500,M,0.261,River,MECP,0.261,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-05,52.22556,-81.67139,LSTUR,745,1950,M,0.366,River,MECP,0.366,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-05,52.22556,-81.67139,LSTUR,960,6500,M,0.476,River,MECP,0.476,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,LWF,196,50,M,0.27,River,MECP,0.27,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,LWF,294,185,F,2.351,River,MECP,2.351,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-08-05,52.25798,-81.69714,LWF,335,320,F,1.17201,River,Lescord,1.17201,Y,NA,NA
Albany River,2016-08-04,52.25798,-81.69714,LWF,335,340,M,1.56671,River,Lescord,1.56671,Y,NA,NA
Albany River,2016-08-04,52.25798,-81.69714,LWF,340,350,F,1.53391,River,Lescord,1.53391,Y,NA,NA
Albany River,2016-08-05,52.25798,-81.69714,LWF,355,400,M,1.44005,River,Lescord,1.44005,Y,NA,NA
Albany River,2016-08-05,52.25798,-81.69714,LWF,360,450,M,1.5715,River,Lescord,1.5715,Y,NA,NA
Albany River,2016-08-04,52.25798,-81.69714,LWF,370,480,M,1.77069,River,Lescord,1.77069,Y,NA,NA
Albany River,2016-08-03,52.25798,-81.69714,LWF,425,540,M,2.13728,River,Lescord,2.13728,Y,NA,NA
Albany River,2016-08-05,52.25798,-81.69714,LWF,395,600,F,2.16641,River,Lescord,2.16641,Y,NA,NA
Albany River,2016-08-03,52.25798,-81.69714,LWF,405,740,M,0.63664,River,Lescord,0.63664,Y,NA,NA
Albany River,2016-09-18,52.25798,-81.69714,LWF,489,1320,F,0.49806,River,Lescord,0.49806,Y,NA,NA
Albany River,2016-09-17,52.22556,-81.67139,NP,410,340,F,0.502,River,MECP,0.502,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,NP,610,1300,M,1.825,River,MECP,1.825,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-08-13,52.25798,-81.69714,NP,640,1800,M,0.97997,River,Lescord,0.97997,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,660,1800,M,0.99132,River,Lescord,0.99132,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,675,2000,M,0.61171,River,Lescord,0.61171,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,700,2000,M,1.19387,River,Lescord,1.19387,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,680,2200,M,1.16901,River,Lescord,1.16901,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,680,2200,M,1.27567,River,Lescord,1.27567,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,720,2800,M,1.6194,River,Lescord,1.6194,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,750,3000,F,2.0594,River,Lescord,2.0594,Y,NA,NA
Albany River,2016-09-18,52.22556,-81.67139,NP,782,3350,F,2.415,River,MECP,2.415,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-13,52.22556,-81.67139,NP,850,3700,M,2.344,River,MECP,2.344,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-08-13,52.25798,-81.69714,NP,830,3700,M,1.25118,River,Lescord,1.25118,Y,NA,NA
Albany River,2016-08-13,52.25798,-81.69714,NP,750,3700,M,1.87737,River,Lescord,1.87737,Y,NA,NA
Albany River,2015-08-04,52.22556,-81.67139,SHRH,290,300,F,0.032,River,MECP,0.00221,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-05,52.22556,-81.67139,SHRH,335,380,F,0.032,River,MECP,0.02203,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-04,52.22556,-81.67139,SHRH,510,1800,F,0.053,River,MECP,0.053,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,WALL,265,140,M,0.536,River,MECP,0.536,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-03,52.22556,-81.67139,WALL,275,180,M,0.128,River,MECP,0.128,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-17,52.22556,-81.67139,WALL,365,370,M,0.832,River,MECP,0.832,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-03,52.22556,-81.67139,WALL,365,400,F,0.29,River,MECP,0.29,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,WALL,459,850,F,0.478,River,MECP,0.478,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-04,52.22556,-81.67139,WALL,455,860,M,1.168,River,MECP,1.168,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-03,52.22556,-81.67139,WS,325,380,M,0.071,River,MECP,0.071,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2016-09-18,52.22556,-81.67139,WS,309,400,M,0.034,River,MECP,0.01496,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-09,52.22556,-81.67139,WS,385,650,M,0.045,River,MECP,0.00312,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River,2015-08-04,52.22556,-81.67139,WS,485,1350,F,0.034,River,MECP,0.0184,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,370,180,F,0.1,River,MECP,0.1,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,375,200,F,0.11,River,MECP,0.11,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,390,250,F,2.7,River,MECP,2.7,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,410,290,M,0.11,River,MECP,0.11,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,690,3100,F,4.33,River,MECP,4.33,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,790,3100,F,1.76,River,MECP,1.76,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,760,3250,F,4.82,River,MECP,4.82,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,580,3300,M,1.74,River,MECP,1.74,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,710,3350,F,1.17,River,MECP,1.17,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,740,3650,M,1.33,River,MECP,1.33,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River -  at Pusagan Place,2008-07-15,51.36667,-83.78333,WALL,820,4050,F,3.14,River,MECP,3.14,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,470,490,M,0.11,River,MECP,0.11,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,650,1750,F,1.09,River,MECP,1.09,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,720,2750,,0.7,River,MECP,0.7,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,890,6100,F,3.02,River,MECP,3.02,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,850,6500,F,2.47,River,MECP,2.47,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,870,6950,F,2.19,River,MECP,2.19,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,NP,875,7200,M,3.72,River,MECP,3.72,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,460,750,F,0.22,River,MECP,0.22,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,540,750,M,0.04,River,MECP,0.01673,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,470,950,F,0.06,River,MECP,0.06,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,535,1000,M,0.09,River,MECP,0.09,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,625,2000,F,3.71,River,MECP,3.71,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,635,2000,M,1.22,River,MECP,1.22,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,645,2050,F,3.55,River,MECP,3.55,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,660,3000,F,2.47,River,MECP,2.47,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Albany River - Forks to Hat Island,2008-07-19,51.25306,-84.1625,WALL,790,3950,F,1.78,River,MECP,1.78,Y,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,501,776,F,0.175,Lake,MECP,0.175,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,531,957,F,0.307,Lake,MECP,0.307,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,544,1091,M,0.174,Lake,MECP,0.174,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,593,1386,F,0.137,Lake,MECP,0.137,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,641,1440,F,0.196,Lake,MECP,0.196,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,652,1587,F,0.11,Lake,MECP,0.11,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,654,1733,F,0.145,Lake,MECP,0.145,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,BUR,721,2530,F,0.12,Lake,MECP,0.12,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,CISCO,NA,40,NA,0.1474,Lake,Lescord-Montreal,0.1474,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,CISCO,NA,49,NA,0.11924,Lake,Lescord-Montreal,0.11924,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,CISCO,NA,55,NA,0.06886,Lake,Lescord-Montreal,0.06886,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,CISCO,NA,55,NA,0.1012,Lake,Lescord-Montreal,0.1012,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,376,718,M,0.235,Lake,MECP,0.235,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,403,726,,0.054,Lake,MECP,0.054,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,438,880,M,0.157,Lake,MECP,0.157,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,445,940,,0.199,Lake,MECP,0.199,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,446,940,M,0.164,Lake,MECP,0.164,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,448,940,,0.179,Lake,MECP,0.179,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,450,943,M,0.039,Lake,MECP,0.02106,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,464,1080,M,0.192,Lake,MECP,0.192,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,445,1144,M,0.184,Lake,MECP,0.184,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,LNS,472,1163,M,0.235,Lake,MECP,0.235,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,LWF,NA,36,NA,0.07744,Lake,Lescord-Montreal,0.07744,N,NA,NA
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,170,44,,0.057,Lake,MECP,0.057,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,187,56,,0.033,Lake,MECP,0.02119,N,SBP,"SKINLESS, BONELESS FILLET PLUG (SKIN-OFF)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,273,212,,0.051,Lake,MECP,0.051,N,SBP,"SKINLESS, BONELESS FILLET PLUG (SKIN-OFF)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,347,470,M,0.062,Lake,MECP,0.062,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,365,490,M,0.069,Lake,MECP,0.069,N,SBP,"SKINLESS, BONELESS FILLET PLUG (SKIN-OFF)"
Attawapiskat Lake,NA,52.24361,-87.8975,LWF,NA,1210,NA,0.06556,Lake,Lescord-Montreal,0.06556,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,LWF,NA,1220,NA,0.09768,Lake,Lescord-Montreal,0.09768,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,LWF,NA,1380,NA,0.07854,Lake,Lescord-Montreal,0.07854,N,NA,NA
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,LWF,522,1780,F,0.084,Lake,MECP,0.084,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,LWF,NA,1810,NA,0.11616,Lake,Lescord-Montreal,0.11616,N,NA,NA
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,189,44,,0.013,Lake,MECP,0.0223,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,255,100,,0.012,Lake,MECP,0.00282,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,340,210,M,0.041,Lake,MECP,0.02008,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,325,NA,0.03058,Lake,Lescord-Montreal,0.03058,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,404,405,M,0.039,Lake,MECP,0.01689,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,418,435,M,0.022,Lake,MECP,0.00028,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,463,670,M,0.056,Lake,MECP,0.056,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,556,780,F,0.029,Lake,MECP,1.00E-05,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,780,NA,0.03014,Lake,Lescord-Montreal,0.03014,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,522,790,F,0.03,Lake,MECP,0.00297,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,545,890,M,0.037,Lake,MECP,0.00985,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,581,1040,F,0.035,Lake,MECP,0.02331,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,563,1060,M,0.035,Lake,MECP,0.01685,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,613,1220,M,0.043,Lake,MECP,0.02475,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,620,1280,F,0.043,Lake,MECP,0.01527,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,1320,NA,0.0297,Lake,Lescord-Montreal,0.0297,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,610,1400,M,0.052,Lake,MECP,0.052,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,642,1440,F,0.045,Lake,MECP,0.01282,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,1610,NA,0.18524,Lake,Lescord-Montreal,0.18524,N,NA,NA
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,1700,NA,0.03916,Lake,Lescord-Montreal,0.03916,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,678,1760,M,0.055,Lake,MECP,0.055,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,734,1900,F,0.082,Lake,MECP,0.082,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,701,2020,F,0.104,Lake,MECP,0.104,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,NP,750,2250,F,0.119,Lake,MECP,0.119,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,NA,52.24361,-87.8975,NP,NA,2550,NA,0.02552,Lake,Lescord-Montreal,0.02552,N,NA,NA
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,782,3300,F,0.093,Lake,MECP,0.093,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,NP,855,4100,F,0.08,Lake,MECP,0.08,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,213,67,M,0.054,Lake,MECP,0.054,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,224,82,F,0.144,Lake,MECP,0.144,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,230,83,M,0.099,Lake,MECP,0.099,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,234,85,M,0.3,Lake,MECP,0.3,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,250,105,M,0.041,Lake,MECP,0.00485,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,257,120,F,0.122,Lake,MECP,0.122,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,264,130,F,0.095,Lake,MECP,0.095,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,246,135,F,0.064,Lake,MECP,0.064,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,281,154,F,0.081,Lake,MECP,0.081,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,275,158,M,0.064,Lake,MECP,0.064,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,285,177,F,0.08,Lake,MECP,0.08,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,306,210,M,0.143,Lake,MECP,0.143,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2012-02-28,52.24361,-87.8975,SAUG,326,273,F,0.117,Lake,MECP,0.117,N,SBF,"SKINLESS, BONELESS FILLET (STANDARD MOE DORSAL FILLET)"
Attawapiskat Lake,2014-07-14,52.24361,-87.8975,SHRH,344,500,F,0.027,Lake,MECP,0.00491,N,SBP,"SKINLESS, BONELESS FILLET PLUG (SKIN-OFF)"
